Monero 'Wolfram Warptangent' (v0.10.0.0-release)
Logging at log level 2 to /home/athan/dev/moneybit/hmonero/bar.log
2016-Oct-05 22:52:30.559539 Loading wallet...
2016-Oct-05 22:52:30.611670 Loaded wallet keys file, with public address: 4B3bWJhHVwydEd7rewPpSxTNr3XBzXD5RcVewi7stvTZ2b1uTMZL2ath4exkxXtjXRbpiVUmQHzawYuVGAXVjxToUGCoF5J
2016-Oct-05 22:52:30.611761 Trying to decrypt cache data
2016-Oct-05 22:52:31.785923 Skipped block by height: 1000
2016-Oct-05 22:52:31.786036 Skipped block by height: 2000
2016-Oct-05 22:52:31.786112 Skipped block by height: 3000
2016-Oct-05 22:52:31.786177 Skipped block by height: 4000
2016-Oct-05 22:52:31.786266 Skipped block by height: 5000
2016-Oct-05 22:52:31.786332 Skipped block by height: 6000
2016-Oct-05 22:52:31.786392 Skipped block by height: 7000
2016-Oct-05 22:52:31.786454 Skipped block by height: 8000
2016-Oct-05 22:52:31.786732 Skipped block by height: 9000
2016-Oct-05 22:52:32.474905 Skipped block by height: 10000
2016-Oct-05 22:52:32.475246 Skipped block by height: 11000
2016-Oct-05 22:52:32.475324 Skipped block by height: 12000
2016-Oct-05 22:52:32.475395 Skipped block by height: 13000
2016-Oct-05 22:52:32.475471 Skipped block by height: 14000
2016-Oct-05 22:52:32.475542 Skipped block by height: 15000
2016-Oct-05 22:52:32.475672 Skipped block by height: 16000
2016-Oct-05 22:52:32.476170 Skipped block by height: 17000
2016-Oct-05 22:52:32.476252 Skipped block by height: 18000
2016-Oct-05 22:52:32.476319 Skipped block by height: 19000
2016-Oct-05 22:52:32.999721 Skipped block by height: 20000
2016-Oct-05 22:52:32.999983 Skipped block by height: 21000
2016-Oct-05 22:52:33.000053 Skipped block by height: 22000
2016-Oct-05 22:52:33.000127 Skipped block by height: 23000
2016-Oct-05 22:52:33.000201 Skipped block by height: 24000
2016-Oct-05 22:52:33.000267 Skipped block by height: 25000
2016-Oct-05 22:52:33.000337 Skipped block by height: 26000
2016-Oct-05 22:52:33.000402 Skipped block by height: 27000
2016-Oct-05 22:52:33.000472 Skipped block by height: 28000
2016-Oct-05 22:52:33.000542 Skipped block by height: 29000
2016-Oct-05 22:52:33.529407 Skipped block by height: 30000
2016-Oct-05 22:52:33.529550 Skipped block by height: 31000
2016-Oct-05 22:52:33.529602 Skipped block by height: 32000
2016-Oct-05 22:52:33.530141 Skipped block by height: 33000
2016-Oct-05 22:52:33.530187 Skipped block by height: 34000
2016-Oct-05 22:52:33.530233 Skipped block by height: 35000
2016-Oct-05 22:52:33.530270 Skipped block by height: 36000
2016-Oct-05 22:52:33.530303 Skipped block by height: 37000
2016-Oct-05 22:52:33.530335 Skipped block by height: 38000
2016-Oct-05 22:52:33.530368 Skipped block by height: 39000
2016-Oct-05 22:52:33.992709 Skipped block by height: 40000
2016-Oct-05 22:52:33.992973 Skipped block by height: 41000
2016-Oct-05 22:52:33.993046 Skipped block by height: 42000
2016-Oct-05 22:52:33.993113 Skipped block by height: 43000
2016-Oct-05 22:52:33.993182 Skipped block by height: 44000
2016-Oct-05 22:52:33.993249 Skipped block by height: 45000
2016-Oct-05 22:52:33.993318 Skipped block by height: 46000
2016-Oct-05 22:52:33.993386 Skipped block by height: 47000
2016-Oct-05 22:52:33.993455 Skipped block by height: 48000
2016-Oct-05 22:52:33.993524 Skipped block by height: 49000
2016-Oct-05 22:52:34.414643 Skipped block by height: 50000
2016-Oct-05 22:52:34.414939 Skipped block by height: 51000
2016-Oct-05 22:52:34.415019 Skipped block by height: 52000
2016-Oct-05 22:52:34.415097 Skipped block by height: 53000
2016-Oct-05 22:52:34.415173 Skipped block by height: 54000
2016-Oct-05 22:52:34.415255 Skipped block by height: 55000
2016-Oct-05 22:52:34.415334 Skipped block by height: 56000
2016-Oct-05 22:52:34.415406 Skipped block by height: 57000
2016-Oct-05 22:52:34.415484 Skipped block by height: 58000
2016-Oct-05 22:52:34.415580 Skipped block by height: 59000
2016-Oct-05 22:52:34.811487 Skipped block by height: 60000
2016-Oct-05 22:52:34.811878 Skipped block by height: 61000
2016-Oct-05 22:52:34.811965 Skipped block by height: 62000
2016-Oct-05 22:52:34.812037 Skipped block by height: 63000
2016-Oct-05 22:52:34.812110 Skipped block by height: 64000
2016-Oct-05 22:52:34.812176 Skipped block by height: 65000
2016-Oct-05 22:52:34.814097 Skipped block by height: 66000
2016-Oct-05 22:52:34.814173 Skipped block by height: 67000
2016-Oct-05 22:52:34.814230 Skipped block by height: 68000
2016-Oct-05 22:52:34.814284 Skipped block by height: 69000
2016-Oct-05 22:52:35.186724 Skipped block by height: 70000
2016-Oct-05 22:52:35.187008 Skipped block by height: 71000
2016-Oct-05 22:52:35.187094 Skipped block by height: 72000
2016-Oct-05 22:52:35.187221 Skipped block by height: 73000
2016-Oct-05 22:52:35.187337 Skipped block by height: 74000
2016-Oct-05 22:52:35.187431 Skipped block by height: 75000
2016-Oct-05 22:52:35.187521 Skipped block by height: 76000
2016-Oct-05 22:52:35.187721 Skipped block by height: 77000
2016-Oct-05 22:52:35.187816 Skipped block by height: 78000
2016-Oct-05 22:52:35.187914 Skipped block by height: 79000
2016-Oct-05 22:52:35.547377 Skipped block by height: 80000
2016-Oct-05 22:52:35.547690 Skipped block by height: 81000
2016-Oct-05 22:52:35.547757 Skipped block by height: 82000
2016-Oct-05 22:52:35.547819 Skipped block by height: 83000
2016-Oct-05 22:52:35.547884 Skipped block by height: 84000
2016-Oct-05 22:52:35.547948 Skipped block by height: 85000
2016-Oct-05 22:52:35.548011 Skipped block by height: 86000
2016-Oct-05 22:52:35.548074 Skipped block by height: 87000
2016-Oct-05 22:52:35.548139 Skipped block by height: 88000
2016-Oct-05 22:52:35.548202 Skipped block by height: 89000
2016-Oct-05 22:52:35.884796 Skipped block by height: 90000
2016-Oct-05 22:52:35.885047 Skipped block by height: 91000
2016-Oct-05 22:52:35.885107 Skipped block by height: 92000
2016-Oct-05 22:52:35.885162 Skipped block by height: 93000
2016-Oct-05 22:52:35.885219 Skipped block by height: 94000
2016-Oct-05 22:52:35.885281 Skipped block by height: 95000
2016-Oct-05 22:52:35.885339 Skipped block by height: 96000
2016-Oct-05 22:52:35.885397 Skipped block by height: 97000
2016-Oct-05 22:52:35.885454 Skipped block by height: 98000
2016-Oct-05 22:52:35.885512 Skipped block by height: 99000
2016-Oct-05 22:52:36.313290 Skipped block by height: 100000
2016-Oct-05 22:52:36.313545 Skipped block by height: 101000
2016-Oct-05 22:52:36.313605 Skipped block by height: 102000
2016-Oct-05 22:52:36.313661 Skipped block by height: 103000
2016-Oct-05 22:52:36.313716 Skipped block by height: 104000
2016-Oct-05 22:52:36.313775 Skipped block by height: 105000
2016-Oct-05 22:52:36.316931 Skipped block by height: 106000
2016-Oct-05 22:52:36.316997 Skipped block by height: 107000
2016-Oct-05 22:52:36.317047 Skipped block by height: 108000
2016-Oct-05 22:52:36.317093 Skipped block by height: 109000
2016-Oct-05 22:52:36.669610 Skipped block by height: 110000
2016-Oct-05 22:52:36.669821 Skipped block by height: 111000
2016-Oct-05 22:52:36.669871 Skipped block by height: 112000
2016-Oct-05 22:52:36.669918 Skipped block by height: 113000
2016-Oct-05 22:52:36.669971 Skipped block by height: 114000
2016-Oct-05 22:52:36.670020 Skipped block by height: 115000
2016-Oct-05 22:52:36.670078 Skipped block by height: 116000
2016-Oct-05 22:52:36.670137 Skipped block by height: 117000
2016-Oct-05 22:52:36.670194 Skipped block by height: 118000
2016-Oct-05 22:52:36.670256 Skipped block by height: 119000
2016-Oct-05 22:52:37.045821 Skipped block by height: 120000
2016-Oct-05 22:52:37.046117 Skipped block by height: 121000
2016-Oct-05 22:52:37.046197 Skipped block by height: 122000
2016-Oct-05 22:52:37.046271 Skipped block by height: 123000
2016-Oct-05 22:52:37.046349 Skipped block by height: 124000
2016-Oct-05 22:52:37.046427 Skipped block by height: 125000
2016-Oct-05 22:52:37.046504 Skipped block by height: 126000
2016-Oct-05 22:52:37.046579 Skipped block by height: 127000
2016-Oct-05 22:52:37.046657 Skipped block by height: 128000
2016-Oct-05 22:52:37.046740 Skipped block by height: 129000
2016-Oct-05 22:52:37.391470 Skipped block by height: 130000
2016-Oct-05 22:52:37.391886 Skipped block by height: 131000
2016-Oct-05 22:52:37.394837 Skipped block by height: 132000
2016-Oct-05 22:52:37.394937 Skipped block by height: 133000
2016-Oct-05 22:52:37.395002 Skipped block by height: 134000
2016-Oct-05 22:52:37.395065 Skipped block by height: 135000
2016-Oct-05 22:52:37.395130 Skipped block by height: 136000
2016-Oct-05 22:52:37.395199 Skipped block by height: 137000
2016-Oct-05 22:52:37.395264 Skipped block by height: 138000
2016-Oct-05 22:52:37.395329 Skipped block by height: 139000
2016-Oct-05 22:52:37.736691 Skipped block by height: 140000
2016-Oct-05 22:52:37.736964 Skipped block by height: 141000
2016-Oct-05 22:52:37.737030 Skipped block by height: 142000
2016-Oct-05 22:52:37.737094 Skipped block by height: 143000
2016-Oct-05 22:52:37.737163 Skipped block by height: 144000
2016-Oct-05 22:52:37.737229 Skipped block by height: 145000
2016-Oct-05 22:52:37.737293 Skipped block by height: 146000
2016-Oct-05 22:52:37.737357 Skipped block by height: 147000
2016-Oct-05 22:52:37.737420 Skipped block by height: 148000
2016-Oct-05 22:52:37.737484 Skipped block by height: 149000
2016-Oct-05 22:52:38.104850 Skipped block by height: 150000
2016-Oct-05 22:52:38.105139 Skipped block by height: 151000
2016-Oct-05 22:52:38.105218 Skipped block by height: 152000
2016-Oct-05 22:52:38.105285 Skipped block by height: 153000
2016-Oct-05 22:52:38.105361 Skipped block by height: 154000
2016-Oct-05 22:52:38.105426 Skipped block by height: 155000
2016-Oct-05 22:52:38.105488 Skipped block by height: 156000
2016-Oct-05 22:52:38.105553 Skipped block by height: 157000
2016-Oct-05 22:52:38.105612 Skipped block by height: 158000
2016-Oct-05 22:52:38.105679 Skipped block by height: 159000
2016-Oct-05 22:52:38.519258 Skipped block by height: 160000
2016-Oct-05 22:52:38.519537 Skipped block by height: 161000
2016-Oct-05 22:52:38.519649 Skipped block by height: 162000
2016-Oct-05 22:52:38.519718 Skipped block by height: 163000
2016-Oct-05 22:52:38.519784 Skipped block by height: 164000
2016-Oct-05 22:52:38.519850 Skipped block by height: 165000
2016-Oct-05 22:52:38.519913 Skipped block by height: 166000
2016-Oct-05 22:52:38.519978 Skipped block by height: 167000
2016-Oct-05 22:52:38.520042 Skipped block by height: 168000
2016-Oct-05 22:52:38.520105 Skipped block by height: 169000
2016-Oct-05 22:52:38.872835 Skipped block by height: 170000
2016-Oct-05 22:52:38.873092 Skipped block by height: 171000
2016-Oct-05 22:52:38.873152 Skipped block by height: 172000
2016-Oct-05 22:52:38.873212 Skipped block by height: 173000
2016-Oct-05 22:52:38.873270 Skipped block by height: 174000
2016-Oct-05 22:52:38.873327 Skipped block by height: 175000
2016-Oct-05 22:52:38.873385 Skipped block by height: 176000
2016-Oct-05 22:52:38.873442 Skipped block by height: 177000
2016-Oct-05 22:52:38.873499 Skipped block by height: 178000
2016-Oct-05 22:52:38.873556 Skipped block by height: 179000
2016-Oct-05 22:52:39.235375 Skipped block by height: 180000
2016-Oct-05 22:52:39.236000 Skipped block by height: 181000
2016-Oct-05 22:52:39.236073 Skipped block by height: 182000
2016-Oct-05 22:52:39.236134 Skipped block by height: 183000
2016-Oct-05 22:52:39.236194 Skipped block by height: 184000
2016-Oct-05 22:52:39.236257 Skipped block by height: 185000
2016-Oct-05 22:52:39.236316 Skipped block by height: 186000
2016-Oct-05 22:52:39.236379 Skipped block by height: 187000
2016-Oct-05 22:52:39.236439 Skipped block by height: 188000
2016-Oct-05 22:52:39.236501 Skipped block by height: 189000
2016-Oct-05 22:52:39.572735 Skipped block by height: 190000
2016-Oct-05 22:52:39.573010 Skipped block by height: 191000
2016-Oct-05 22:52:39.573076 Skipped block by height: 192000
2016-Oct-05 22:52:39.573140 Skipped block by height: 193000
2016-Oct-05 22:52:39.573205 Skipped block by height: 194000
2016-Oct-05 22:52:39.573268 Skipped block by height: 195000
2016-Oct-05 22:52:39.573331 Skipped block by height: 196000
2016-Oct-05 22:52:39.573412 Skipped block by height: 197000
2016-Oct-05 22:52:39.573474 Skipped block by height: 198000
2016-Oct-05 22:52:39.573554 Skipped block by height: 199000
2016-Oct-05 22:52:39.937111 Skipped block by height: 200000
2016-Oct-05 22:52:39.937393 Skipped block by height: 201000
2016-Oct-05 22:52:39.937459 Skipped block by height: 202000
2016-Oct-05 22:52:39.937521 Skipped block by height: 203000
2016-Oct-05 22:52:39.937585 Skipped block by height: 204000
2016-Oct-05 22:52:39.937650 Skipped block by height: 205000
2016-Oct-05 22:52:39.937713 Skipped block by height: 206000
2016-Oct-05 22:52:39.937777 Skipped block by height: 207000
2016-Oct-05 22:52:39.937842 Skipped block by height: 208000
2016-Oct-05 22:52:39.937905 Skipped block by height: 209000
