Monero 'Wolfram Warptangent' (v0.10.0.0-34fcfcd)
Logging at log level 2 to /home/athan/dev/moneybit/hmonero/foo.log
2016-Oct-27 05:45:06.260806 Loading wallet...
2016-Oct-27 05:45:06.294075 Loaded wallet keys file, with public address: 48aPXdzu2Qt1KVVuPUunjeVTm6zf6Vg3kf38VhSCunCzQjWBzH3rpJjSwDgnE8ocJWYGeEqhEoBWqeoVwbyYs3se6cGdjTx
2016-Oct-27 05:45:06.409713 Trying to decrypt cache data
2016-Oct-27 05:45:07.848549 Block is already in blockchain: 0f65eb9f364716c55251f16afa49b1926102bdf22f45fa7de9b4e11dbd6a883d
2016-Oct-27 05:45:07.851427 Processed block: <289d118869dba9597042c45a22e41213af93740a00c91986a937d15ea392ae5f>, height 1166272, 2(0/2)ms
2016-Oct-27 05:45:07.866045 Processed block: <7857696f5ca70575e621710cc10bb33e90b21b0e4478eef06aada0ad66dc306d>, height 1166273, 4(0/4)ms
2016-Oct-27 05:45:07.869391 Processed block: <5e1faeafdf6c7484a68ec236660168c23e5359dd6f056abe662554724ad8937d>, height 1166274, 3(0/3)ms
2016-Oct-27 05:45:07.869830 Processed block: <e2eb9a016229dd2ef8e7a1ab10beae5558683f8cba93ac99dde57ff494d7978a>, height 1166275, 1(1/0)ms
2016-Oct-27 05:45:07.870107 Processed block: <ba04eb18c6485f52017dce300f72e64e1230b7ed20f3f281ee6c240c5bb9c3d0>, height 1166276, 0(0/0)ms
2016-Oct-27 05:45:07.870383 Processed block: <6f657b66d9a3a0fba6165f13930702fcd6ceb6a51f26f002fadb8723f4339087>, height 1166277, 0(0/0)ms
2016-Oct-27 05:45:07.873996 Processed block: <aa63a67cf4d8ab65e59e904c2f27577b51740ef2b7c70bad5c282630cab5e6d6>, height 1166278, 4(1/3)ms
2016-Oct-27 05:45:07.874373 Processed block: <b94189b1a765743e88ff6682695a4824647c01913211a65beeece118c4af9d33>, height 1166279, 0(0/0)ms
2016-Oct-27 05:45:07.875493 Processed block: <15626d555a1c57a165e0b4ad8a548083e94a88b1d54fbd3387c2e36a7c4d04f4>, height 1166280, 1(1/0)ms
2016-Oct-27 05:45:07.879592 Processed block: <d02066627a19723ae4afc625cd31bb57cc31bcb32aff219ec7743b5d78337013>, height 1166281, 4(1/3)ms
2016-Oct-27 05:45:07.889684 Processed block: <b1f31f5450fba009b0c3018c6fa17fc786dc2beb7c950e6cb260d63bf407a0d9>, height 1166282, 10(0/10)ms
2016-Oct-27 05:45:07.919405 Processed block: <95dad43c125812ca3e51b6fcccd5d9bd452ca4840bc3db3690b5a91a4d7ffc3a>, height 1166283, 29(0/29)ms
2016-Oct-27 05:45:07.933565 Processed block: <4892e0d80cf68547596d1768f1bb39321b5152ede62adc8d8103ca4fcaa5955a>, height 1166284, 14(1/13)ms
2016-Oct-27 05:45:07.942611 Processed block: <4ebdd19c98074fabca5fc4e6b3d06eabf49645c185e4c3036764c5ea6814c77f>, height 1166285, 9(0/9)ms
2016-Oct-27 05:45:07.942884 Processed block: <6f9b9780617166b8cdbd008a551f4f869e8be72f3334752ec4b62298224c953e>, height 1166286, 0(0/0)ms
2016-Oct-27 05:45:07.945343 Processed block: <58b00796052583f8a89f8913a7792a81912b1efb98e54f31757451356925db80>, height 1166287, 2(0/2)ms
2016-Oct-27 05:45:07.947518 Processed block: <42701ea90592a3a11ea687a9428bfd719bfef8225fcb13c145945e14e52bab6c>, height 1166288, 2(1/1)ms
2016-Oct-27 05:45:07.947773 Processed block: <91fd42d2b0c68e64de3f7e75486b7d1bbbecdd5cdeafb40a61074f5569b4721c>, height 1166289, 1(1/0)ms
2016-Oct-27 05:45:07.950876 Processed block: <ae88a1bc8df283bad0693b42336125bdb20398c2e79e16e2dd30ad0c97c4d018>, height 1166290, 3(0/3)ms
2016-Oct-27 05:45:07.956371 Processed block: <82a2b4b65e7467aadb659512d5a921038084a53499e61163197d92848c56cd4e>, height 1166291, 5(0/5)ms
2016-Oct-27 05:45:07.980053 Processed block: <4995e29fce3b0f24674c335a3c35dd2f18fbd588772b52f2bc9deda67f0fcbaf>, height 1166292, 24(1/23)ms
2016-Oct-27 05:45:07.981562 Processed block: <6038386f0d7a8fb89cb9d8b0c4fce24d6ddf38974c8cdbfed3372b2bd58ea178>, height 1166293, 1(0/1)ms
2016-Oct-27 05:45:07.983401 Processed block: <b410a210eeb107c1c560d8dd4e8468a2f00ba938151070ccf1b5792a401e8ac7>, height 1166294, 2(1/1)ms
2016-Oct-27 05:45:07.992853 Processed block: <6f70c2b5f00707332bb83e2ef0a84984a902f99b5664ab0e000d570d99620507>, height 1166295, 10(1/9)ms
2016-Oct-27 05:45:07.993110 Processed block: <435212e83a00b78a67c21fcad12557b49e892ba9bd63bb4bc57326ee9aa94e35>, height 1166296, 0(0/0)ms
2016-Oct-27 05:45:07.993365 Processed block: <263160a55b6048e04c5f662dd5e5d3eb36a2569d2a95ce67ffc5c08be6f44b78>, height 1166297, 0(0/0)ms
2016-Oct-27 05:45:07.993624 Processed block: <84baa5d1246dcdb74d5eadad04d8004709108b6a29c589e88286be386a5a036c>, height 1166298, 1(1/0)ms
2016-Oct-27 05:45:07.994736 Processed block: <8523103bdcb6bd2c4d73d8e99f1e47d2287fce05ec3be7e6396340d39e262dac>, height 1166299, 1(0/1)ms
2016-Oct-27 05:45:07.995677 Processed block: <6cd436c8e2b0b9373ccdc40e458c70ca6ea5349b478417b2c010ada6b29108d5>, height 1166300, 1(0/1)ms
2016-Oct-27 05:45:07.996616 Processed block: <53c55fba68558fc29196944efb27f8ee753f8e1de506fbde20ffd797cece0007>, height 1166301, 1(0/1)ms
2016-Oct-27 05:45:08.001881 Processed block: <48d24ea334be6d7aa6c3b88b1b6167f801c458d232b0a9fad82655f1f5e11c62>, height 1166302, 5(0/5)ms
2016-Oct-27 05:45:08.016179 Processed block: <3a3bb97cd78aa268fb87a43ce048d79e52ec0b0ccfebe5fdd91bb26cab47ab0c>, height 1166303, 14(0/14)ms
2016-Oct-27 05:45:08.019083 Processed block: <3d399b956bd2dc50b8ae272a3dc403a75d97a1b283c2d2c9b178a69ca1cf5907>, height 1166304, 3(0/3)ms
2016-Oct-27 05:45:08.019339 Processed block: <dcb54c5e18e05850183a720cf66af7afbbed9e372e75cb7daeb112d1db17cf5c>, height 1166305, 0(0/0)ms
2016-Oct-27 05:45:08.019588 Processed block: <bba265fe384ec8b0a39d776f0484ac26496e435d088f147fe2bc448b0f572934>, height 1166306, 0(0/0)ms
2016-Oct-27 05:45:08.019970 Processed block: <cac97571e1b982df00d7f4c93bce54088c425558806338262a31595013b92681>, height 1166307, 0(0/0)ms
2016-Oct-27 05:45:08.020221 Processed block: <08fd69dec1525627f330b0b947669bf992d8cc06f1cf63a5c7fddc5a3e765356>, height 1166308, 0(0/0)ms
2016-Oct-27 05:45:08.021268 Processed block: <b3339e8e95350d30317b6a75bff9402513bc31c6028662c50486e430ee3cd174>, height 1166309, 1(0/1)ms
2016-Oct-27 05:45:08.024039 Processed block: <289b54337b3f1c94e57ee76c8528146e85e1f334a9539860a4d5ff55325bb5a8>, height 1166310, 3(0/3)ms
2016-Oct-27 05:45:08.037822 Processed block: <ec51e11eb8263939c067f2313395ff031034f38977b57de35deecb2253b295c4>, height 1166311, 14(0/14)ms
2016-Oct-27 05:45:08.038103 Processed block: <5b8e42082c70300a60b4c26cbb0368fb51e02aa939acc3fa4c3b307946fc19cc>, height 1166312, 0(0/0)ms
2016-Oct-27 05:45:08.043759 Processed block: <1b5af311c3630dc797ad5901dc513273f6478d4f373412bcc1ad0a246bb7c480>, height 1166313, 6(0/6)ms
2016-Oct-27 05:45:08.046671 Processed block: <788f07759a71caa270dc19db36b33c39dee57b851d706e05affddc341498686c>, height 1166314, 3(0/3)ms
2016-Oct-27 05:45:08.052275 Processed block: <a4fc69f36583f91528c6ba53cd4ba11a8aba931cd9bdb872d3f647b3968aff61>, height 1166315, 5(0/5)ms
2016-Oct-27 05:45:08.054248 Processed block: <99ced9502a1f55d311a2f7fd98d27b68bd66747d71707afdf3aa687349ba66b9>, height 1166316, 2(0/2)ms
2016-Oct-27 05:45:08.054600 Processed block: <2384d156dec2ff40b6a0d0646a4c476b7103ba7b5731807979625a922e8e7c5e>, height 1166317, 0(0/0)ms
2016-Oct-27 05:45:08.054948 Processed block: <141af46f54b5d7d87336733989af202a60bd89632794bc8b0f1d729f2db1721b>, height 1166318, 0(0/0)ms
2016-Oct-27 05:45:08.058562 Processed block: <2f10d3d7dbae147eec771877746be5de1166e8625806bd92905a05348b82b949>, height 1166319, 3(0/3)ms
2016-Oct-27 05:45:08.060453 Processed block: <9ab2f64f4e24e6887d8c43a812e4ed47974774449d12c3f07979f1ed9792b2fd>, height 1166320, 1(0/1)ms
2016-Oct-27 05:45:08.060719 Processed block: <ba895018b84b677e657e120cb599ee95555cfb7f28be6334e697776359dbe776>, height 1166321, 1(1/0)ms
2016-Oct-27 05:45:08.060963 Processed block: <9a2934d767a340360c081a4e6174f048da7c046fdd3cf904a98598a0004c3b4b>, height 1166322, 0(0/0)ms
2016-Oct-27 05:45:08.061363 Processed block: <3da3769b94247a0db6577df91456a10f316749b89e2452d4e35e4bc9afe9fae2>, height 1166323, 0(0/0)ms
2016-Oct-27 05:45:08.080124 Processed block: <6d460c7abf39fd63804d534dda54e9685c48d24e091a5c714a6cf4279fc5ed4d>, height 1166324, 19(1/18)ms
2016-Oct-27 05:45:08.080385 Processed block: <86e81f0283fd6b65d54a8464c5fc134ff1694b9de08837a226aa9615ac9b031b>, height 1166325, 0(0/0)ms
2016-Oct-27 05:45:08.088923 Processed block: <1954becb3bdd7e7e5d9edca9d200e1092ccdaad4c0aee79032ce90d06a58654d>, height 1166326, 9(1/8)ms
2016-Oct-27 05:45:08.097033 Processed block: <b33ad0bad76af0fc88ebaaad20cfb9a430598d82e1f4990e33869902ca1e39b6>, height 1166327, 8(0/8)ms
2016-Oct-27 05:45:08.098693 Processed block: <1c9938f896c2ee3049412450d2c46878c820e2a03a1f692dc120d68ce510e581>, height 1166328, 2(0/2)ms
2016-Oct-27 05:45:08.105281 Processed block: <2acf94f6f80ad3ab203b3c8409b1c8d2590c788ca283d406d531a806d805f987>, height 1166329, 6(0/6)ms
